exam_year,exam_part,question_no,question_id,primary_week,primary_week_topic,secondary_weeks,secondary_week_topics,question_summary
2024,A,6,2024-A-6,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",4,Basic Parametric Models and Statistical Learning,"A linear regression model is trained by solving the following optimisation problem: 1 θ̂ = arg min ||Xθ − y||22 + λ||θ||22 θ n In this equation, the regularisation hyperparameter is denoted by: (a) θ. (b) n. (c) 2. (d) λ"
2024,A,7,2024-A-7,8,Neural Networks and Deep Learning (CNNs),,,"Regarding Convolutional Neural Networks (CNNs), which of the following statement is incorrect? (a) CNNs use techniques such as stride and pooling to reduce the overall size of the network. (b) A CNN is only considered to"
2024,A,8,2024-A-8,9,"Ensemble Methods (Bagging, Boosting, Random Forests)",,,"An important difference between bagging and boosting is that: (a) Bagging is suitable for regression problems, while boosting is suitable for classification problems. (b) Bagging can build a heterogeneous ensemble of mod"
2024,A,9,2024-A-9,11,Kernel Methods (SVMs),,,"Regarding kernel ridge regression, which of the following statements is incorrect? (a) kernel ridge regression incorporates L2 regularisation as part of the method. (b) kernel ridge regression uses a kernel function to c"
2024,A,10,2024-A-10,13,"Generative Models (revisited: Autoencoders, GANs)",3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,Which of the following is not a generative machine learning model? (a) k-nearest neighbour. (b) Gaussian Process. (c) Generative adversarial network. (d) Gaussian mixture model. (next question over) Part B - Questions ca
2024,B,1,2024-B-1,2,"Supervised Learning (k-NN, Decision Trees)",4,Basic Parametric Models and Statistical Learning,"Figure 1 shows a set of training data for a binary classification problem, where a point labelled ‘+’ is a family car, and a point labelled ‘-’ is not a family car. Figure 1 (a) A decision tree is trained on this data an"
2024,B,2,2024-B-2,5,"Performance (Generalisation, Evaluation, Model Selection)",,,Figure 2 shows two related Figures from a machine learning textbook: Figure 2 (a) The caption on Fig.4.6 states that the plot was produced using 100 models (each based on a sample of twenty instances as mentioned in the 
2024,B,3,2024-B-3,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",6,"Learning Parametric Models (Optimisation, Loss, Regularisation)","Figure 3 is taken from the course textbook (Algorithm 6.1): Figure 3 (question continues over) (a) In Algorithm 6.1, what does Q(l) represent? (2 marks) (b) In Algorithm 6.1, what does nb represent? (2 marks) (c) In Algo"
2024,B,4,2024-B-4,9,"Ensemble Methods (Bagging, Boosting, Random Forests)",5,"Performance (Generalisation, Evaluation, Model Selection)","(a) Compare the ensemble methods of bagging and boosting. Write a few sentences, giving one similarity and one difference between the two techniques. (5 marks) (question continues over) Figure 4 (b) Figure 4 is from the "
2024,B,5,2024-B-5,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",6;8,"Learning Parametric Models (Optimisation, Loss, Regularisation); Neural Networks and Deep Learning (CNNs)",Figure 5 is taken for a machine learning textbook and shows some experimental results comparing neural networks trained with and without weight decay. The box-whiskers plots summarize the dis- tribution of the error valu
2024,B,6,2024-B-6,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,11,Kernel Methods (SVMs),"For both kernel ridge regression and support vector regression, the equation for predicting a text point is identical: ŷ(x⋆ ) = α̂⊤ K(X, x⋆ ) (a) Explain what is different about kernel ridge regression and support vecto"
2024,B,7,2024-B-7,12,Bayesian Approach and Gaussian Processes,,,"Figure 6 shows a Gaussian Process model for a one-dimensional regression problem. Figure 6(a) shows four samples from the prior distribution of the GP, and Figure 6(b) shows the posterior distribution after two data poin"
2024,B,8,2024-B-8,13,"Generative Models (revisited: Autoencoders, GANs)",3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,1. Explain briefly what a generative model is in machine learning (i.e. what makes it a generative model as opposed to a non-generative model?). (4 marks) 2. Generative Adversarial Networks are trained using unlabelled d
2025,A,1,2025-A-1,1,Introduction and Background Review,,,"The CIFAR-100 dataset consists of images from 100 different labeled classes, with 50000 images for training and 10000 for testing. Each image is 32 × 32 with Red, Green and Blue intensity values for each pixel. Assume th"
2025,A,2,2025-A-2,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,,,The k-Means clustering algorithm can be seen as a simplified case of which other algorithm that we have studied during the course: (a) Stochastic gradient descent. (b) Principal component analysis. (c) Recursive binary s
2025,A,3,2025-A-3,4,Basic Parametric Models and Statistical Learning,,,"Let g(xi ; θ) be the output of a standard logistic regression model. At the decision boundary, the output of this model is equal to: (a) 0.5. (b) 0. (c) 1. (d) -1."
2025,A,4,2025-A-4,5,"Performance (Generalisation, Evaluation, Model Selection)",,,"Which of the following is not an example of a hyperparameter? (a) The value of k in k-nearest neighbours. (b) The number of layers in a feed-forward neural network. (c) The offset term in linear regression, θ0 . (d) The "
2025,A,5,2025-A-5,5,"Performance (Generalisation, Evaluation, Model Selection)",,,Which of the following is a commonly-used measure of the performance of a binary classifier: (a) The exponential loss function. (b) Area under the ROC curve. (c) The magnitude of the gradient with respect to the model pa
2025,A,6,2025-A-6,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",,,"A commonly used loss function in machine learning is given by: ( 0 if ŷ = y. L(y, ŷ) = I{ŷ ̸= y} = 1 if ŷ ̸= y. This is known as the: (a) Misclassification loss. (b) Mean squared error. (c) ϵ-insensitive loss. (d) Cr"
2025,A,7,2025-A-7,9,"Ensemble Methods (Bagging, Boosting, Random Forests)",,,Random forests aim to improve performance over simple bagged ensembles by: (a) Allowing the decision tree base models to grow to a larger depth. (b) Repeatedly reshuffling the data prior to training each base model. (c) 
2025,A,8,2025-A-8,12,Bayesian Approach and Gaussian Processes,,,Gaussian Processes differ from most machine learning models in that they: (a) Use maximum likelihood estimation to formulate the training problem. (b) Have no hyperparameters. (c) Produce a distribution over the function
2025,A,9,2025-A-9,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,,,Principal component analysis (PCA) can be performed by calculating the eigenvectors and eigenvalues of the covariance matrix of a data set. The eigenvalues measure: (a) The mean squared error of the model on the data. (b
2025,A,10,2025-A-10,13,"Generative Models (revisited: Autoencoders, GANs)",,,"Regarding auto-encoders, which of the following statements is false? (a) An auto-encoder is a type of feedforward neural network. (b) Auto-encoders can be trained via gradient descent. (c) Auto-encoders can be used to pe"
2025,B,1,2025-B-1,2,"Supervised Learning (k-NN, Decision Trees)",5,"Performance (Generalisation, Evaluation, Model Selection)",Figure 1 (from a book by Kevin Murphy) shows some results of performing k-nearest neighbor (k-NN) classification on a 2-D dataset. Figure 1 (a) Explain the shape of the test curve shown. (4 marks) (question continues ove
2025,B,2,2025-B-2,2,"Supervised Learning (k-NN, Decision Trees)",5,"Performance (Generalisation, Evaluation, Model Selection)","Figure 2 (from a book by Kevin Murphy) shows a decision tree trained on the Iris dataset (a), together with the data and decision regions (b) produced by the tree with respect to two of the input features (petal width an"
2025,B,3,2025-B-3,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,,,"Given a labeled dataset, a Gaussian mixture model can be trained to perform classification by fitting the parameters of the model using maximum likelihood estimates. This is a form of supervised learning, since the class"
2025,B,4,2025-B-4,4,Basic Parametric Models and Statistical Learning,,,"Figure 3 shows linear regression applied to a 1-D dataset. Using the notation from lectures, the cost function for training this model can be written as: n 1X θ̂ = arg min L(ŷ(xi ; θ), yi ) θ n i=1 Figure 3 (a) Label th"
2025,B,5,2025-B-5,5,"Performance (Generalisation, Evaluation, Model Selection)",,,"Figure 4 (a,b,c) shows different polynomial regression models trained on a 1-D dataset. The Mean Squared Error versus the degree of polynomial for a range of models is also shown (d). Figure 4 (a) Use Figure 4 to make an"
2025,B,6,2025-B-6,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",7,"Neural Networks and Deep Learning (MLP, Backpropagation)","Figure 5 (from the textbook) shows an illustration of gradient descent when different learning rate values are used. Figure 5 Using the example of training a feedforward neural network and Figure 5, explain briefly what "
2025,B,7,2025-B-7,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",,,"Figure 6 (from the textbook) shows a diagram of a feed-forward neural network with a single hidden layer. Figure 6 Using the notation given in Figure 6, write down an equation for the output of the neural network. (4 mar"
2025,B,8,2025-B-8,8,Neural Networks and Deep Learning (CNNs),7,"Neural Networks and Deep Learning (MLP, Backpropagation)","Back in the 1980’s, 8-bit computers commonly used an 8 × 8 bitmap (pixels) to represent ASCII characters (including a total of 95 different printable characters). (a) Consider building a feed-forward neural network that "
2025,B,9,2025-B-9,9,"Ensemble Methods (Bagging, Boosting, Random Forests)",5,"Performance (Generalisation, Evaluation, Model Selection)",Many ensemble methods in machine learning use the idea of bootstrapping. Explain briefly why this is an effective way of reducing model error in terms of the bias-variance decomposition. (4 marks)
2025,B,10,2025-B-10,11,Kernel Methods (SVMs),,,"The notion of a kernel plays an important role in a number of machine learning methods, including support vector machines. Give a short, intuitive explanation for the meaning of a kernel in machine learning: what does a "
2025,B,11,2025-B-11,12,Bayesian Approach and Gaussian Processes,4,Basic Parametric Models and Statistical Learning,Figure 7 shows a summary of Bayesian linear regression from the textbook. Use this to help you explain the main difference between “standard” linear regression (using maximum likelihood or least squares training) and Bay
2025,B,12,2025-B-12,13,"Generative Models (revisited: Autoencoders, GANs)",,,Generative Adversarial Networks (GANs) typically involve two deep neural networks: the critic and the generator. Explain briefly what the role of the critic is in the GAN training process. (4 marks)
